JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d66vm5lbujdc73cv9srg,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Failed,Failed to execute program:  -- https://ibm.biz/error_codes#6307,2026-02-12T16:08:54.703679Z,10,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66vhhhv6o8c73d4qri0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:59:02.827473Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66veohv6o8c73d4qon0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:53:06.902067Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66vc78qbmes739enoa0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:47:41.83355Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66v9m8qbmes739enl2g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:42:17.790948Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66v75dbujdc73cv99k0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:36:53.594757Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66v4jre4kfs73d17q3g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:31:27.955303Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66v22je4kfs73d17n2g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:26:02.475514Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66uvhtbujdc73cv90j0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:20:39.29096Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66ut0tbujdc73cv8t7g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:15:15.154316Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66uqelbujdc73cv8pu0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:09:46.145591Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66uns5bujdc73cv8mq0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T15:04:16.819188Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66ulabe4kfs73d177mg,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:58:49.495401Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66uipdbujdc73cv8gmg,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:53:25.971492Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66ug80qbmes739emn0g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:48:00.901485Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66udmre4kfs73d16si0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:42:35.241574Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66ub63e4kfs73d16q5g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:37:12.378841Z,298,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66u8l1v6o8c73d4p700,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:31:48.669899Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66u64be4kfs73d16k4g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:26:25.89586Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66u3jre4kfs73d16hd0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:21:03.416008Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66u12hv6o8c73d4ouk0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:15:38.977654Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66tui9v6o8c73d4orf0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:10:17.32682Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66trvoqbmes739elu70,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T14:04:47.624832Z,298,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66tpg0qbmes739elr00,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T13:59:28.175166Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66tmvoqbmes739elo5g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T13:54:07.928166Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66tkf3e4kfs73d1607g,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T13:48:45.179138Z,297,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
d66t73be4kfs73d15fv0,d4fe12e2-28b7-43f4-a55b-351e29b9cd23,Completed,,2026-02-12T13:20:13.509213Z,298,estimator,ibm_boston,crn:v1:bluemix:public:quantum-computing:us-east:a/2c7afd2718fe41cf912e8ad6e77f57c7:93a5135f-4cde-49be-95a4-c414fe7c8cde::,
